"","phylum","class","order","family","genus","species"
"1245944","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","uncultured Alteromonas sp. AD1000-15-F07"
"1246051","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","uncultured Alteromonas sp. AD1000-G15-18"
"1246001","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","uncultured Alteromonas sp. AD1000-53-G05"
"671278","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella tabrizica"
"614070","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella algidipiscicola"
"1391211","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas sp. H43"
"137779","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas flavipulchra"
"1704084","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Colwellia sp. D7"
"349064","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea agarivorans"
"89067","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","Moritella japonica"
"445838","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. Sa4-2I"
"1124161","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. B1"
"52021","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas desiderata"
"176290","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas halocynthiae"
"1836493","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Carsonella","Candidatus Carsonella sp. CFMycopsyllaCars"
"344879","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. DAT722"
"2661922","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. THAF191d"
"533492","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. FAL163"
"71388","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio halioticoli"
"512643","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium aquimaris"
"1204713","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Arhodomonas","Arhodomonas sp. Seminole"
"13725","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiocystis","Thiocystis violacea"
"1662007","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium","Marichromatium sp. 1"
"631362","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiorhodovibrio","Thiorhodovibrio sp. 970"
"329135","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas sp. CCRC 13980"
"1733418","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas sp. PDCDC-62"
"1006623","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas cavernicola"
"359685","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","Microbulbifer sp. MBIC06115"
"1434395","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter","uncultured Teredinibacter sp."
"939869","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,"Thiotrichales bacterium SCGC AAA288-M14"
"1092420","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella sp. D2863"
"947033","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella steelei"
"28085","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella cincinnatiensis"
"363574","Proteobacteria","Gammaproteobacteria",NA,NA,NA,"Bathymodiolus aff. thermophilus thioautotrophic gill symbiont"
"500167","Proteobacteria","Gammaproteobacteria",NA,NA,NA,"Calyptogena ponderosa endosymbiont"
"400390","Proteobacteria","Gammaproteobacteria",NA,NA,"Alkalimonas","Alkalimonas collagenimarina"
"710983","Proteobacteria","Gammaproteobacteria",NA,NA,NA,"uncultured gamma proteobacterium HF0070_08D07"
"723576","Proteobacteria","Gammaproteobacteria",NA,NA,NA,"uncultured gamma proteobacterium HF0770_09E07"
"1665202","Proteobacteria","Gammaproteobacteria",NA,NA,NA,"uncultured gamma proteobacterium Rifle_16ft_4_minimus_8572"
"1649716","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. MM12"
"634773","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. RRD24"
"1070004","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. ARR375"
"1534910","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. ARR877"
"1004093","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. CCNWSX0914"
"980616","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium sp. HAMBI 1486"
"76745","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium arboris"
"511439","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer maghrebium"
"1505931","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. DJ14"
"1642666","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. III"
"1642668","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. IX"
"335020","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium albiziae"
"1777867","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium jarvisii"
"46914","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia riboflavina"
"371857","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella","uncultured Methylocella sp."
"333368","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus","Rhodoblastus sphagnicola"
"513651","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Beijerinckia","Beijerinckia fluminensis"
"1480870","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Beijerinckia","Beijerinckia sp. Lor46"
"34017","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Rhodobium","Rhodobium orientis"
"508687","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus sp. AJ110402"
"93682","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseivivax",NA
"1185766","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thioclava","Thioclava dalianensis"
"194870","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ATCC 53159"
"1087","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodovibrio","Rhodovibrio salinarum"
"1088","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodovibrio","Rhodovibrio sodomensis"
"310606","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","uncultured Roseomonas sp."
"708631","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Granulibacter","uncultured Granulibacter sp."
"1539051","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Bombella","Bombella intestini"
"182403","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Rubritepida","Rubritepida flocculans"
"723611","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"uncultured Rhodospirillales bacterium HF0500_23A22"
"1150948","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Glossina morsitans morsitans"
"1812123","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Yatesia hydrochoerus"
"430555","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Candidatus Ehrlichia khabarensis"
"1936076","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Candidatus Ehrlichia sp. AG-2017"
"467750","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Candidatus Neoehrlichia","Candidatus Neoehrlichia lotoris"
"1068590","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia asembonensis"
"69474","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Orientia",NA
"710792","Proteobacteria","Alphaproteobacteria",NA,NA,NA,"uncultured alpha proteobacterium EB000_37G09"
"875116","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. CATux-44"
"157910","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia tuberum"
"2508291","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea","Pandoraea eparura"
"187868","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax valerianellae"
"547958","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas sp. EB172"
"680496","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Diaphorobacter sp. J5-51"
"1840257","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Polaromonas sp. E19S"
"240505","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","Brachymonas petroleovorans"
"1194346","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella","Candidatus Snodgrassella sp. TA7_36335"
"359407","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylotenera",NA
"318421","Proteobacteria","Betaproteobacteria","Rhodocyclales","Azonexaceae","Ferribacterium","uncultured Ferribacterium sp."
"428452","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio sp. LVS-13"
"1433530","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio sp. b16"
"675925","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio sp. enrichment culture clone Jdgsrb010"
"45629","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio halophilus"
"564288","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfonauticus","Desulfonauticus autotrophicus"
"394094","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter","Cystobacter velatus"
"1665178","Proteobacteria","Deltaproteobacteria",NA,NA,NA,"uncultured delta proteobacterium Rifle_16ft_4_minimus_2971"
"710820","Proteobacteria","Deltaproteobacteria",NA,NA,NA,"uncultured delta proteobacterium HF0010_01J10"
"2572050","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter sp. CFSAN093246"
"2013514","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Sulfurospirillum","Sulfurospirillum sp. SL2-2"
"95149","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pametensis"
"456926","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","Bacteriovorax sp. MED2"
"248047","Proteobacteria",NA,NA,NA,NA,"uncultured marine proteobacterium ANT8C10"
"914279","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. FLTR 007/09"
"1236117","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. HLT1-15"
"759358","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. SAR17"
"280093","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium granuli"
"706182","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium chungnamense"
"178355","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium omnivorum"
"1540163","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium endophyticum"
"1250002","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter sp. Hel_I_95"
"1248826","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. ICM B2"
"297244","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium shigense"
"691816","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides rodentium"
"386414","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella timonensis"
"417614","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","uncultured Tannerella sp."
"28115","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas macacae"
"104663","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga filiformis"
"1769012","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Arachidicoccus",NA
"135533","Bacteroidetes",NA,NA,NA,NA,"marine CFB-group bacterium MBIC04444"
"115852","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobaculum","Chlorobaculum thiosulfatiphilum"
"98182","Chlorobi",NA,NA,NA,NA,"uncultured bacterium PENDANT-21"
"1627253",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03564"
"1239499",NA,NA,NA,NA,NA,"uncultured bacterium contig00170"
"506522",NA,NA,NA,NA,NA,"uncultured bacterium BLR5"
"415440",NA,NA,NA,NA,NA,"uncultured marine bacterium EB0_50A10"
"1343840",NA,NA,NA,NA,NA,"uncultured bacterium 4050020-J15"
"1625830",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02141"
"1781481",NA,NA,NA,NA,NA,"uncultured bacterium gwc2_scaffold_3724"
"1781512",NA,NA,NA,NA,NA,"uncultured bacterium gwd2_scaffold_6589"
"1425068",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000001022"
"1625617",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01928"
"651659",NA,NA,NA,NA,NA,"uncultured bacterium FLS12"
"1623982",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00293"
"1624173",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00484"
"1624620",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00931"
"743082",NA,NA,NA,NA,NA,"uncultured marine bacterium MedDCM-OCT-S12-C289"
"1624232",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00543"
"1624007",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00318"
"1625662",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01973"
"1239461",NA,NA,NA,NA,NA,"uncultured bacterium contig00058"
"1623818",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00129"
"1191433",NA,NA,NA,NA,NA,"uncultured bacterium F25-01"
"1091577",NA,NA,NA,NA,NA,"uncultured bacterium CSLG7"
"13136",NA,NA,NA,NA,NA,"unidentified marine bacterioplankton"
"1091573",NA,NA,NA,NA,NA,"uncultured bacterium CSLD10"
"98593",NA,NA,NA,NA,NA,"uncultured bacterium adhufec101"
"1623700",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00011"
"1781387",NA,NA,NA,NA,NA,"uncultured bacterium gwa2_scaffold_5628"
"1624663",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00974"
"1623951",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00262"
"1626192",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02503"
"1626650",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02961"
"1552129",NA,NA,NA,NA,NA,"uncultured bacterium SA354_p"
"1627658",NA,NA,NA,NA,NA,"uncultured bacterium Contig12527"
"1624079",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00390"
"577601",NA,NA,NA,NA,NA,"uncultured sulfur-oxidizing bacterium"
"1256582",NA,NA,NA,NA,NA,"uncultured bacterium A1Q1_fos_517"
"1624175",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00486"
"1330842",NA,NA,NA,NA,NA,"bacterium enrichment culture clone aHCH7_C4"
"1552145",NA,NA,NA,NA,NA,"uncultured bacterium TB350_p"
"1624137",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00448"
"1627750",NA,NA,NA,NA,NA,"uncultured bacterium Contig19988"
"1627211",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03522"
"1624409",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00720"
"1624363",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00674"
"542437",NA,NA,NA,NA,NA,"uncultured bacterium ARCTIC45_G_10"
"542435",NA,NA,NA,NA,NA,"uncultured bacterium ARCTIC42_C_05"
"698394",NA,NA,NA,NA,NA,"uncultured bacterium 92"
"1627245",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03556"
"1624355",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00666"
"1627099",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03410"
"1181561",NA,NA,NA,NA,NA,"uncultured bacterium contig00088"
"1091576",NA,NA,NA,NA,NA,"uncultured bacterium CSLG10"
"1627171",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03482"
"542474",NA,NA,NA,NA,NA,"uncultured bacterium HF0010_05N09"
"542404",NA,NA,NA,NA,NA,"uncultured bacterium ARCTIC14_B_11"
"542491",NA,NA,NA,NA,NA,"uncultured bacterium HF0070_068A10"
"1627186",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03497"
"1181537",NA,NA,NA,NA,NA,"uncultured bacterium contig00053"
"1188752",NA,NA,NA,NA,NA,"bacterium enrichment culture clone KSE55-29"
"1624509",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00820"
"1625720",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02031"
"1624517",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00828"
"1393594",NA,NA,NA,NA,NA,"uncultured bacterium Contig594"
"526654",NA,NA,NA,NA,NA,"uncultured bacterium AD257-B4"
"526648",NA,NA,NA,NA,NA,"uncultured bacterium AD203-H6"
"1624248",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00559"
"1624245",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00556"
"1625634",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01945"
"1624214",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00525"
"1624201",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00512"
"1625771",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02082"
"1627282",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03593"
"542530",NA,NA,NA,NA,NA,"uncultured bacterium HF0770_45N15"
"1625791",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02102"
"1626918",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03229"
"542555",NA,NA,NA,NA,NA,"uncultured bacterium OMZ60_12A13"
"743048",NA,NA,NA,NA,NA,"uncultured marine bacterium MedDCM-OCT-S04-C102"
"743052",NA,NA,NA,NA,NA,"uncultured marine bacterium MedDCM-OCT-S04-C13"
"1627405",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03716"
"743060",NA,NA,NA,NA,NA,"uncultured marine bacterium MedDCM-OCT-S04-C72"
"1623782",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00093"
"1623990",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00301"
"1776966",NA,NA,NA,NA,NA,"uncultured bacterium UPO41"
"149820",NA,NA,NA,NA,NA,"uncultured equine intestinal eubacterium sp. DW15"
"1239507",NA,NA,NA,NA,NA,"uncultured bacterium contig00189"
"1776975",NA,NA,NA,NA,NA,"uncultured bacterium UPO50"
"1623948",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00259"
"1424794",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000000740"
"1424795",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000000741"
"1781516",NA,NA,NA,NA,NA,"uncultured bacterium gwe1_scaffold_89"
"1625373",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01684"
"1626418",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig02729"
"1425105",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000001062"
"1625173",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01484"
"1366603",NA,NA,NA,NA,NA,"uncultured bacterium esnapd21"
"1366605",NA,NA,NA,NA,NA,"uncultured bacterium esnapd23"
"1781459",NA,NA,NA,NA,NA,"uncultured bacterium gwc2_scaffold_14545"
"1624989",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01300"
"1624962",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01273"
"1161947",NA,NA,NA,NA,NA,"bacterium enrichment culture clone PKS14"
"1624042",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00353"
"60664",NA,NA,NA,NA,NA,"unidentified rumen bacterium RF21"
"1340030",NA,NA,NA,NA,NA,"uncultured bacterium Ele16D6"
"332273",NA,NA,NA,NA,NA,"uncultured bacterium MedeBAC35C06"
"1425028",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000000981"
"1623854",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig00165"
"1624844",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01155"
"1625022",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01333"
"1130993",NA,NA,NA,NA,NA,"uncultured bacterium W4-21b"
"1626721",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig03032"
"1425149",NA,NA,NA,NA,NA,"uncultured bacterium ctg7180000001433"
"1781437",NA,NA,NA,NA,NA,"uncultured bacterium gwb2_scaffold_714"
"1781552",NA,NA,NA,NA,NA,"uncultured bacterium gwf2_scaffold_14057"
"1465624",NA,NA,NA,NA,NA,"uncultured bacterium contig00003(2014)"
"1625295",NA,NA,NA,NA,NA,"uncultured bacterium BD_contig01606"
"651290","Planctomycetes","Planctomycetia","Isosphaerales","Isosphaeraceae","Singulisphaera","uncultured Singulisphaera sp."
"427148","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Blastopirellula","uncultured Blastopirellula sp."
"124","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula marina"
"164","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","Treponema pectinovorum"
"38876","Spirochaetes","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia","Borrelia lonestari"
"84379","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira alvinipulli"
"44676","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix","Geothrix fermentans"
"1665136","Candidatus Parcubacteria",NA,NA,NA,NA,"uncultured Parcubacteria bacterium Rifle_16ft_4_minimus_23790"
"1618879",NA,NA,NA,NA,NA,"Parcubacteria group bacterium GW2011_GWB1_45_9"
"1618858",NA,NA,NA,NA,NA,"Parcubacteria group bacterium GW2011_GWA2_53_21"
"44754","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium gondwanense"
"239994","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Thermodesulfovibrio","uncultured Thermodesulfovibrio sp."
"1158361","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","Persephonella sp. TUMA5-3nA"
"2161884",NA,NA,NA,NA,NA,"bacterium AG-311-K16"
"1187060",NA,NA,NA,NA,NA,"bacterium IS423"
"1202494",NA,NA,NA,NA,NA,"bacterium symbiont of Thyasira sp. Guiness"
"517967",NA,NA,NA,NA,NA,"soil bacterium Siso-S1T-M1LLLSSL-3"
"239885",NA,NA,NA,NA,NA,"bacterium K41"
"180287",NA,NA,NA,NA,NA,"swine manure pit bacterium PPC36"
"1315607",NA,NA,NA,NA,NA,"bacterium 28W521"
"131436",NA,NA,NA,NA,NA,"chlamydia-associated clinical sample 471-S"
"362059",NA,NA,NA,NA,NA,"bacterium CYCU-0215"
"717081",NA,NA,NA,NA,NA,"endophytic bacterium sh756"
"1256903",NA,NA,NA,NA,NA,"bacterium symbiont of Plakortis simplex pPSA11D7"
"2161910",NA,NA,NA,NA,NA,"bacterium AG-341-M18"
"596092",NA,NA,NA,NA,NA,"Pliocardia stearnsii symbiont"
"259115",NA,NA,NA,NA,NA,"Adelie penguin guano bacterium 25a"
"52768","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia georgiae"
"1969482","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus","Flaviflexus sp."
"1219585","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium","Arcanobacterium sp. S3PF19"
"413896","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","uncultured Varibaculum sp."
"1282740","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,"actinomycete TGsS-01-09"
"1962131","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium sp. JV5"
"1363434","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,"Propionibacteriaceae bacterium Se1Pw_3069"
"33984","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Luteococcus","Luteococcus japonicus"
"1966349","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Mariniluteicoccus","Mariniluteicoccus sp."
"490627","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. DF412"
"996641","Actinobacteria","Actinobacteria","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella amoyensis"
"363865","Actinobacteria","Actinobacteria","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella ginsengisoli"
